Activity Type,Date,Environment,Country,City,Title,Distance (km),Calories,Time,Avg HR,Max HR
Cycling,5/31/2011 13:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",21.552,401,0:55:18,145,185
Cycling,6/5/2011 13:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",43.232,893,1:56:10,160,192
Cycling,6/6/2011 13:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",35.408,864,1:40:30,160,192
Cycling,6/21/2011 13:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",28.24,609,1:12:42,155,179
Cycling,6/25/2011 13:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",39.84,818,1:43:05,160,192
Cycling,6/29/2011 13:00,Outdoor,USA,"Dallas, TX","Plano Cycling, TX",32.64,553,1:27:47,155,179
Cycling,7/1/2011 6:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",33.376,795,1:27:47,160,192
Cycling,7/7/2011 6:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",31.552,815,1:18:58,160,192
Cycling,7/8/2011 6:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",31.648,824,1:16:12,160,192
Cycling,7/11/2011 7:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",32.64,592,1:22:48,145,185
Cycling,7/14/2011 6:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",33.36,683,1:16:57,145,185
Cycling,7/19/2011 6:09,Outdoor,USA,"Plano, TX","Plano Cycling, TX",32.56,897,1:09:43,160,192
Cycling,7/20/2011 6:01,Outdoor,USA,"Plano, TX","Plano Cycling, TX",35.2,915,1:19:02,160,192
Cycling,8/1/2011 7:49,Outdoor,USA,"Plano, TX","Plano Cycling, TX",16.672,360,0:36:13,145,185
Cycling,8/9/2011 5:18,Outdoor,USA,"Plano, TX","Plano Cycling, TX",32.736,85,1:28:49,145,185
Cycling,9/10/2011 13:23,Outdoor,USA,"Altamonte Springs, FL",Florida Cycling,32.448,644,1:22:16,145,185
Cycling,9/11/2011 13:36,Outdoor,USA,"Maitland, FL",Florida Cycling,45.824,809,1:35:25,160,192
Cycling,9/17/2011 11:18,Outdoor,USA,"Maitland, FL",Florida Cycling,63.728,1154,2:44:51,160,192
Cycling,9/24/2011 10:12,Outdoor,USA,"Altamonte Springs, FL",Florida Cycling,60.96,1132,2:32:57,160,192
Cycling,10/1/2011 0:00,Outdoor,USA,"Plano, TX","Plano Cycling, TX",74.848,1655,2:44:17,160,192
Cycling,10/21/2011 14:09,Outdoor,USA,"Frisco, TX",Frisco Cycling,13.776,243,0:33:53,160,192
Cycling,10/23/2011 7:25,Outdoor,USA,"Plano, TX","Plano Cycling, TX",57.776,1092,2:50:47,160,192
Cycling,2/25/2012 8:40,Outdoor,Brazil,"Potim, SP",Brazil Cycling,25.504,555,1:19:23,160,192
Cycling,3/28/2012 6:04,Outdoor,USA,"Plano, TX","Plano Cycling, TX",27.664,454,1:25:20,160,192
Cycling,4/7/2012 6:00,Outdoor,USA,"Frisco, TX",Frisco Road Cycling,29.75,945,2:03:57,160,189
Cycling,4/22/2012 6:00,Outdoor,USA,"Frisco, TX",Frisco Road Cycling,40.04,1203,2:46:55,160,189
Cycling,5/15/2012 6:00,Outdoor,USA,"Frisco, TX",Frisco Road Cycling,18.44,400,1:25:07,160,189
Cycling,5/19/2012 8:26,Outdoor,USA,"Frisco, TX",Frisco Road Cycling,26.544,476,1:08:52,160,189
Cycling,5/28/2012 6:00,Outdoor,USA,"Plano, TX",Plano Cycling,21.184,585,0:44:33,160,189
Cycling,7/24/2012 19:08,Outdoor,USA,"Frisco, TX",Frisco Road Cycling,30.88,648,1:27:10,160,189
Cycling,7/28/2012 0:00,Outdoor,USA,"Plano, TX",Dallas Cycling,73.504,1337,3:28:01,160,189
Cycling,7/30/2012 0:00,Outdoor,USA,"Frisco, TX",Frisco Cycling,26.144,547,1:10:58,160,189
Cycling,7/31/2012 19:14,Outdoor,USA,"Frisco, TX",Frisco Cycling,26.272,586,1:14:52,160,189
Cycling,8/2/2012 19:09,Outdoor,USA,"Frisco, TX",Frisco Cycling,25.648,478,1:07:58,160,189
Cycling,8/28/2012 18:30,Outdoor,USA,"Frisco, TX",Frisco Cycling,26.64,523,1:06:06,160,189
Cycling,8/29/2012 16:35,Outdoor,USA,"Frisco, TX",Frisco Cycling,24.56,487,1:00:29,160,189
Cycling,2/2/2013 8:19,Outdoor,USA,"Allen, TX",Allen Cycling,66.496,1279,3:00:39,160,189
Cycling,4/27/2013 9:18,Outdoor,USA,"Frisco, TX",Frisco Cycling,26.528,501,1:13:16,160,189
Cycling,4/28/2013 8:55,Outdoor,USA,"Frisco, TX",Frisco Cycling,43.168,869,1:50:20,160,189
Cycling,8/1/2013 19:26,Outdoor,USA,"Frisco, TX","Easy Ride, Zero Challenge",26.91,827,1:05:29,149,192
Cycling,8/3/2013 6:30,Outdoor,USA,"Frisco, TX",Untitled,93.23,"2,474",4:07:25,136,193
Cycling,8/10/2013 5:59,Outdoor,USA,"Frisco, TX",Untitled,107.17,"3,574",4:25:07,154,186
Cycling,8/15/2013 18:15,Outdoor,USA,"Frisco, TX",Untitled,26.85,633,1:14:27,126,159
Cycling,8/17/2013 9:27,Outdoor,USA,"Frisco, TX",Untitled,1.16,25,03:09.2,114,157
Cycling,8/25/2013 19:15,Outdoor,USA,"Frisco, TX",Untitled,18.58,573,0:41:03,149,187
